Formulation,Loading_wt_percent,Loading_fraction,nAB_weighted,F07_C_O_weighted,nAB_weighted_MinMax,F07_C_O_weighted_MinMax,Observed,Predicted_training,Predicted_LOO,Residual_training,Residual_LOO
DMS-V22-5%,5,0.05,0.0,0.1,0.0,0.0,66,79.29101338432139,85.9517795637199,-13.291013384321388,-19.951779563719896
DMS-V22-10%,10,0.1,0.0,0.2,0.0,0.05882352941176471,60,53.687189292543195,51.162740899357615,6.312810707456805,8.837259100642385
PDM-0421-5%,5,0.05,0.6000000000000001,0.6000000000000001,0.25,0.2941176470588236,90,80.02657743785856,78.43693194413656,9.973422562141437,11.56306805586344
PDM-0421-10%,10,0.1,1.2000000000000002,1.2000000000000002,0.5,0.6470588235294119,61,55.158317399617545,52.330306469920544,5.841682600382455,8.669693530079456
PDM-1922-5%,5,0.05,1.2000000000000002,0.9,0.5,0.47058823529411764,197,131.9697896749522,124.07804459691256,65.03021032504779,72.92195540308744
PDM-1922-10%,10,0.1,2.4000000000000004,1.8,1.0,1.0,109,159.0447418738048,198.14645776566755,-50.04474187380481,-89.14645776566755
PMM-1025-5%,5,0.05,0.6000000000000001,0.6000000000000001,0.25,0.2941176470588236,53,80.02657743785856,84.33429394812686,-27.026577437858563,-31.334293948126856
PMM-1025-10%,10,0.1,1.2000000000000002,1.2000000000000002,0.5,0.6470588235294119,72,55.158317399617545,47.005107832009074,16.841682600382455,24.994892167990926
PMP-5025-5%,5,0.05,1.2000000000000002,0.7000000000000001,0.5,0.35294117647058826,135,183.1774378585086,203.76855895196502,-48.1774378585086,-68.76855895196502
PMP-5025-10%,10,0.1,2.4000000000000004,1.4000000000000001,1.0,0.7647058823529412,296,261.4600382409176,208.13813229571974,34.539961759082416,87.86186770428026
